sample.x	sample.y	jsd
G_diarrhea_022	A_diarrhea_020	0.762120363644843
G_diarrhea_024	A_diarrhea_020	0.795215010143935
G_diarrhea_025	A_diarrhea_020	0.805194883454362
G_diarrhea_026	A_diarrhea_020	0.810818235258858
G_diarrhea_027	A_diarrhea_020	0.801443486330987
G_diarrhea_028	A_diarrhea_020	0.799774295576212
G_recovery_d003	A_diarrhea_020	0.853193248361506
G_recovery_d004	A_diarrhea_020	0.876909968953399
G_recovery_d005	A_diarrhea_020	0.906790994907423
G_recovery_d006	A_diarrhea_020	0.922893134620619
G_recovery_d007	A_diarrhea_020	0.950253792031057
G_recovery_d008	A_diarrhea_020	0.961481767975924
G_recovery_d009	A_diarrhea_020	0.973613980891485
G_recovery_d010	A_diarrhea_020	0.976319456834538
G_recovery_d015	A_diarrhea_020	0.975831224342847
G_recovery_d016	A_diarrhea_020	0.960202188892277
G_recovery_d023	A_diarrhea_020	0.970639379596232
G_recovery_d031	A_diarrhea_020	0.973366610139269
G_recovery_d037	A_diarrhea_020	0.973371869769833
G_recovery_d044	A_diarrhea_020	0.974038081748246
G_recovery_d051	A_diarrhea_020	0.977431422146454
G_recovery_d086	A_diarrhea_020	0.978216046405321
A_diarrhea_016	A_diarrhea_021	0.204626514039562
A_diarrhea_020	A_diarrhea_021	0.198013374646039
A_diarrhea_021	A_diarrhea_021	0
A_diarrhea_024	A_diarrhea_021	0.334538713434061
A_diarrhea_027	A_diarrhea_021	0.593359590629207
A_diarrhea_032	A_diarrhea_021	0.43249410534141
A_diarrhea_049	A_diarrhea_021	0.508006925408997
A_diarrhea_062	A_diarrhea_021	0.42882645950029
A_diarrhea_076	A_diarrhea_021	0.573568074218522
A_diarrhea_078	A_diarrhea_021	0.678854924699182
A_diarrhea_080	A_diarrhea_021	0.809870585910509
A_diarrhea_081	A_diarrhea_021	0.829173688801068
A_diarrhea_084	A_diarrhea_021	0.799378403881238
A_diarrhea_085	A_diarrhea_021	0.781043235596309
A_diarrhea_086	A_diarrhea_021	0.810744930777037
A_diarrhea_087	A_diarrhea_021	0.810095537734813
A_diarrhea_089	A_diarrhea_021	0.746203209350659
A_diarrhea_090	A_diarrhea_021	0.71092220590143
A_diarrhea_091	A_diarrhea_021	0.748897593648769
A_diarrhea_092	A_diarrhea_021	0.794834414015372
A_diarrhea_093	A_diarrhea_021	0.801730945373888
A_diarrhea_094	A_diarrhea_021	0.834718405477527
A_diarrhea_095	A_diarrhea_021	0.76248277005185
A_diarrhea_096	A_diarrhea_021	0.777314386400524
A_diarrhea_098	A_diarrhea_021	0.825470293657823
A_diarrhea_099	A_diarrhea_021	0.835661124250964
A_diarrhea_100	A_diarrhea_021	0.83574092490349
A_diarrhea_101	A_diarrhea_021	0.82092188418917
A_diarrhea_102	A_diarrhea_021	0.816401035307347
A_diarrhea_end	A_diarrhea_021	0.804714559476599
A_recovery_d004	A_diarrhea_021	0.791508319889275
A_recovery_d005	A_diarrhea_021	0.800063712674608
